Date,Surface,Winner,Loser,PSW,PSL,B365W,B365L,Series,Tournament,Comment
2024-01-02,Hard,Alice Adams,Bianca Brooks,1.72,2.10,1.72,2.10,International,Sydney,Completed
2024-01-03,Hard,Clara Cole,Diana Dale,1.80,1.95,1.80,1.95,International,Sydney,Completed
2024-01-05,Hard,Alice Adams,Clara Cole,1.91,1.91,1.91,1.91,International,Sydney,Completed
2024-01-10,Clay,Bianca Brooks,Diana Dale,1.67,2.20,1.67,2.20,International,Merida,Completed
2024-01-13,Clay,Bianca Brooks,Alice Adams,2.30,1.57,2.30,1.57,International,Merida,Completed
2024-01-15,Hard,Diana Dale,Alice Adams,2.40,1.53,2.40,1.53,International,Hobart,Completed
2024-01-17,Hard,Clara Cole,Bianca Brooks,2.05,1.80,2.05,1.80,International,Hobart,Completed
2024-01-22,Hard,Alice Adams,Diana Dale,1.70,2.15,1.70,2.15,Grand Slam,Melbourne,Completed
2024-01-24,Hard,Bianca Brooks,Clara Cole,1.95,1.87,1.95,1.87,Grand Slam,Melbourne,Completed
2024-02-04,Clay,Diana Dale,Clara Cole,2.25,1.62,2.25,1.62,International,Bogota,Completed
2024-02-06,Clay,Bianca Brooks,Diana Dale,1.74,2.05,1.74,2.05,International,Bogota,Completed
2024-02-08,Clay,Bianca Brooks,Clara Cole,1.66,2.20,1.66,2.20,International,Bogota,Completed
2024-02-20,Grass,Alice Adams,Clara Cole,2.15,1.72,2.15,1.72,International,Nottingham,Completed
2024-02-22,Grass,Alice Adams,Bianca Brooks,1.88,1.92,1.88,1.92,International,Nottingham,Completed
2024-02-24,Grass,Diana Dale,Clara Cole,2.35,1.55,2.35,1.55,International,Nottingham,Completed
